Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
72,John Stones,eng ENG,"DF,MF",Manchester City,29-292,1994,14,11,952,10.6,1,0,1,1,0,0,2,0,1,1,0.2,1.2,15,50,20,0.09,0,0.09,0.09,0.09,0.1,0.02,0.12,0.1,0.12,Matches,
73,Raheem Sterling,eng ENG,"FW,MF",Chelsea,29-098,1994,25,21,"1,813",20.1,6,3,9,6,0,0,6,0,5.5,5.5,3.8,9.3,109,69,226,0.3,0.15,0.45,0.3,0.45,0.28,0.19,0.46,0.28,0.46,Matches,
74,Jason Steele,eng ENG,GK,Brighton,33-210,1990,15,15,"1,350",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
75,Vinicius Souza,br BRA,MF,Sheffield Utd,24-272,1999,27,25,"2,167",24.1,1,0,1,1,0,0,2,0,0.4,0.4,0.2,0.6,6,53,17,0.04,0,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,Matches,
76,Tomáš Sou?ek,cz CZE,MF,West Ham,29-017,1995,27,25,"2,145",23.8,6,1,7,6,0,0,5,0,5.6,5.6,0.7,6.3,6,64,33,0.25,0.04,0.29,0.25,0.29,0.24,0.03,0.26,0.24,0.26,Matches,
77,Manor Solomon,il ISR,FW,Tottenham,24-235,1999,5,2,199,2.2,0,2,2,0,0,0,1,0,0.4,0.4,0.8,1.2,17,11,44,0,0.9,0.9,0,0.9,0.19,0.38,0.56,0.19,0.56,Matches,
78,Dominic Solanke,eng ENG,FW,Bournemouth,26-183,1997,28,28,"2,494",27.7,15,3,18,14,1,2,2,0,16.1,14.5,2.5,17,33,46,139,0.54,0.11,0.65,0.51,0.61,0.58,0.09,0.67,0.52,0.61,Matches,
79,Cédric Soares,pt POR,DF,Arsenal,32-197,1991,3,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,Matches,
80,Emile Smith Rowe,eng ENG,MF,Arsenal,23-231,2000,10,2,235,2.6,0,1,1,0,0,0,0,0,1.5,1.5,0.2,1.7,8,16,11,0,0.38,0.38,0,0.38,0.57,0.07,0.64,0.57,0.64,Matches,
81,Adam Smith,eng ENG,DF,Bournemouth,32-321,1991,19,16,"1,420",15.8,0,2,2,0,0,0,4,0,0,0,0.8,0.8,16,64,20,0,0.13,0.13,0,0.13,0,0.05,0.05,0,0.05,Matches,
82,Oliver Skipp,eng ENG,"MF,FW",Tottenham,23-181,2000,17,4,582,6.5,0,0,0,0,0,0,2,0,0.6,0.6,0.6,1.2,6,32,22,0,0,0,0,0,0.09,0.09,0.18,0.09,0.18,Matches,
83,Luis Sinisterra,co COL,"FW,MF",Bournemouth,24-272,1999,19,6,661,7.3,2,2,4,2,0,0,0,0,2.5,2.5,2.3,4.8,49,38,79,0.27,0.27,0.54,0.27,0.54,0.34,0.31,0.66,0.34,0.66,Matches,
84,Thiago Silva,br BRA,DF,Chelsea,39-175,1984,23,22,"1,983",22,2,0,2,2,0,0,3,0,0.4,0.4,0.6,1,2,80,2,0.09,0,0.09,0.09,0.09,0.02,0.03,0.05,0.02,0.05,Matches,
85,Fábio Silva,pt POR,FW,Wolves,21-240,2002,8,3,264,2.9,0,0,0,0,0,0,2,0,1,1,0.2,1.2,5,10,13,0,0,0,0,0,0.35,0.07,0.42,0.35,0.42,Matches,
86,Bernardo Silva,pt POR,"MF,FW",Manchester City,29-218,1994,24,21,"1,897",21.1,6,4,10,6,0,0,7,0,2.9,2.9,5.6,8.5,110,136,190,0.28,0.19,0.47,0.28,0.47,0.14,0.26,0.4,0.14,0.4,Matches,
87,Luke Shaw,eng ENG,DF,Manchester Utd,28-247,1995,12,12,959,10.7,0,0,0,0,0,0,6,0,0,0,1,1,10,45,30,0,0,0,0,0,0,0.09,0.1,0,0.1,Matches,
88,Marcos Senesi,ar ARG,DF,Bournemouth,26-310,1997,23,19,"1,658",18.4,3,2,5,3,0,0,8,0,1,1,0.8,1.8,21,88,3,0.16,0.11,0.27,0.16,0.27,0.05,0.05,0.1,0.05,0.1,Matches,
89,Antoine Semenyo,gh GHA,FW,Bournemouth,24-068,2000,24,18,"1,424",15.8,7,1,8,7,0,0,4,0,3.5,3.5,2.3,5.8,56,43,128,0.44,0.06,0.51,0.44,0.51,0.22,0.15,0.37,0.22,0.37,Matches,
90,Nélson Semedo,pt POR,"DF,MF",Wolves,30-120,1993,27,27,"2,347",26.1,0,1,1,0,0,0,7,0,0.9,0.9,1.1,2,79,110,113,0,0.04,0.04,0,0.04,0.03,0.04,0.08,0.03,0.08,Matches,
91,Matz Sels,be BEL,GK,Nott'ham Forest,32-018,1992,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
92,Alex Scott,eng ENG,MF,Bournemouth,20-207,2003,15,7,692,7.7,1,1,2,1,0,0,2,0,0.5,0.5,0.8,1.3,15,33,18,0.13,0.13,0.26,0.13,0.26,0.06,0.11,0.17,0.06,0.17,Matches,
93,Jeffrey Schlupp,gh GHA,"FW,MF",Crystal Palace,31-083,1992,20,17,"1,223",13.6,1,1,2,1,0,0,0,0,1.7,1.7,1.7,3.5,18,28,37,0.07,0.07,0.15,0.07,0.15,0.13,0.13,0.25,0.13,0.25,Matches,
94,Fabian Schär,ch SUI,DF,Newcastle Utd,32-086,1991,28,28,"2,443",27.1,3,1,4,3,0,0,4,0,2.4,2.4,0.6,3,18,102,17,0.11,0.04,0.15,0.11,0.15,0.09,0.02,0.11,0.09,0.11,Matches,
95,Kevin Schade,de GER,"FW,MF",Brentford,22-109,2001,5,3,257,2.9,1,0,1,1,0,0,0,0,0.7,0.7,0.4,1.1,3,9,18,0.35,0,0.35,0.35,0.35,0.25,0.15,0.4,0.25,0.4,Matches,
96,Dane Scarlett,eng ENG,FW,Tottenham,19-357,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
97,Pablo Sarabia,es ESP,"MF,FW",Wolves,31-309,1992,21,15,"1,273",14.1,3,6,9,2,1,1,1,0,3.6,2.8,5.2,8,33,86,105,0.21,0.42,0.64,0.14,0.57,0.26,0.37,0.62,0.2,0.57,Matches,
98,Andrey Santos,br BRA,MF,Nott'ham Forest,19-317,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.64,0,0.64,0.64,0.64,Matches,
